Threads,OMP,MPI
1,1.571117,0.0009216666666666667
2,0.8085899999999998,0.005634
3,0.5585795,0.011291
4,0.42061466666666664,0.015737333333333332
5,0.3536971666666667,0.021993833333333334
6,0.5315355,0.026291999999999996
