Aux,P,Mean Execution Time (s)
1,500000,0.36495266666666665
10,300000,1.6304673333333335
100,40000,0.7073256666666667
1000,100000,0.3513498333333333
10000,100000,0.2883545
40000,60000,0.25667416666666665
60000,500000,0.2203828333333334
100000,60000,0.222109
