Aux,Mean Execution Time (s)
1,3.5607431666666667
10,3.552971
100,3.557004333333333
1000,3.556434166666667
10000,3.5566250000000004
40000,3.5531811666666666
60000,3.5606588333333336
100000,3.5545441666666666
