Mean Execution Time (s),Speedup (%),Efficiency (%)
0.16707166666666665,116.80229681873051,116.80229681873051
0.11260766666666666,173.29507819183422,86.64753909591711
0.10125600000000001,192.72294382555108,64.2409812751837
0.095885,203.5183229910831,50.879580747770774
0.10644983333333335,183.31972713281215,36.66394542656243
0.0954045,204.5433328616575,34.09055547694292
0.10082083333333335,193.55478183245856,27.65068311892265
0.09792650000000001,199.27552194758312,24.90944024344789
0.08476316666666667,230.22210197432457,25.58023355270273
0.08328899999999999,234.29689875013514,23.429689875013516
