Mean Execution Time (s),Speedup (%),Efficiency (%)
0.00018416666666666668,10596029.538461538,10596029.538461538
0.0006135,3180823.863080685,1590411.9315403425
0.0007818333333333335,2495973.702835216,831991.2342784053
0.0010248333333333335,1904149.0713937222,476037.26784843055
0.001397,1396875.7623478884,279375.1524695777
0.0014585,1337974.2475145701,222995.707919095
0.0017786666666666665,1097133.8680659672,156733.4097237096
0.0016955000000000002,1150949.8319079918,143868.72898849897
0.0021481666666666667,908419.0115602452,100935.44572891614
0.0023843333333333334,818440.6990074095,81844.06990074096
