Mean Execution Time,Speedup,Efficiency
6.85e-05,284881.0861313869,284881.0861313869
7.816666666666666e-05,249650.5893390192,124825.2946695096
6.066666666666666e-05,321665.1824175825,107221.72747252749
6.283333333333335e-05,310573.2795755968,77643.3198938992
5.4333333333333324e-05,359159.89693251543,71831.97938650308
5.716666666666666e-05,341358.96909620997,56893.161516035
5.4333333333333324e-05,359159.89693251543,51308.55670464506
5.4666666666666656e-05,356969.8975609757,44621.23719512196
5.2999999999999994e-05,368195.36603773595,40910.5962264151
6e-05,325239.24000000005,32523.924000000006
