Threads,0.5B,1.0B,1.5B
1,202.5641025641026,96.72265770810003,62.816969696969714
2,162.53920461673567,91.73038799207025,84.72957949120399
3,137.6248141066497,127.69564360339052,79.38725490196079
4,131.90796171859094,119.43215339233038,102.28959418916786
5,123.21445553970518,108.75514144212207,97.70739064856714
6,110.36715222761735,100.85629768021175,95.22969496508638
7,103.44111776447107,99.71523127838068,91.98438054668088
8,97.64111839626197,86.35606212090916,44.40331756803071
