BLKSIZE,500K 100,500K 100K,500K 500K,1000K 100,1000K 100K,1000K 500K,1500K 100,1500K 100K,1500K 500K
100,0.008476666666666667,0.008476666666666667,0.008476666666666667,0.024479833333333336,0.024479833333333336,0.024479833333333336,0.042017500000000006,0.042017500000000006,0.042017500000000006
100000,0.002661,0.002661,0.002661,0.007165166666666667,0.007165166666666667,0.007165166666666667,0.013317499999999998,0.013317499999999998,0.013317499999999998
500000,0.003367666666666667,0.003367666666666667,0.003367666666666667,0.0092935,0.0092935,0.0092935,0.013076166666666668,0.013076166666666668,0.013076166666666668
