Threads,1.5B 2-1,1.5B 2-2,1.5B 2-3
1,76.10385404296665,73.65094290341118,77.07319739791177
2,83.33234824753237,73.19592980998858,97.57093425605538
3,88.85177716158307,73.94063352213132,110.29492294453571
4,92.10216880062713,76.08742579600649,114.0234532955924
5,87.97030011854994,74.60577838924753,121.30258969285042
6,84.23348070259293,78.04162515221965,110.16565088295047
7,77.17444851934972,75.32724261366674,93.9432302771855
8,65.66225782414308,62.97007592675302,64.13300582241631
