Threads,0.5B 2-1,1.0B 2-1,1.5B 2-1,0.5B 2-2,1.0B 2-2,1.5B 2-2,0.5B 2-3,1.0B 2-3,1.5B 2-3
1,175.30889113479455,83.04521853039904,53.44556342077957,149.5529895723928,70.33882488720589,46.01637202855299,148.40110599905884,70.3875743063363,45.442532472226524
2,180.61587241046405,85.12501217257719,47.785713367597445,150.49999823218843,71.34970372983307,46.37236189142154,171.84502268113766,82.24328231874631,53.35037252986384
3,150.7227816929695,70.26275128647347,46.40535946992943,152.0281673991477,71.75403681983323,45.0935442647241,176.5088729476131,84.69143654091836,62.06076941163674
4,168.96982688145198,83.83109704679069,46.390915878371594,133.44633048063258,71.20944272443704,45.28280736009344,211.04638727045491,99.81704831261082,64.88154012638861
5,151.77533141605656,71.56347833959576,46.83545951296107,150.04164832824628,71.73709684341168,46.94968786283461,213.2393724524265,100.8323639502692,65.6496603903622
6,150.44050639750003,72.14568961910099,46.80384141618771,151.02305732048745,71.71451321425002,46.7076371353233,216.11208571573255,102.93390287941571,67.1201639959827
7,153.83476711695192,67.64136167772622,46.16064993441679,148.34302525257272,72.13473530704117,46.84742111262057,218.3099200037582,103.10669422648226,66.39548815362113
8,151.78092637073456,71.8283902128142,46.97360052722544,151.1782847562742,72.05230574859456,46.60139979650529,207.1815714111833,97.23463414584025,62.87850893049267
